price_million,km,seats,engine,engine_missing,age,km_per_year,is_luxury,transmission_binary,fuel_diesel,fuel_electric,fuel_gasoline,fuel_hybrid,inland_binary,new_binary,body_type_convertible,body_type_coupe,body_type_hatchback,body_type_minivan,body_type_other,body_type_pickup,body_type_sedan,body_type_suv,body_type_truck,body_type_wagon,city_ba_ria,city_bac_ninh,city_binh_duong,city_can_tho,city_da_nang,city_dak_lak,city_dong_nai,city_gia_lai,city_ha_noi,city_hai_phong,city_ho_chi_minh,city_khac,city_lam_dong,city_other,city_phu_tho,city_thanh_hoa,city_unknow,city_vinh_phuc,brand_audi,brand_bmw,brand_chevrolet,brand_daewoo,brand_ford,brand_honda,brand_hyundai,brand_isuzu,brand_kia,brand_landrover,brand_lexus,brand_mazda,brand_mercedes_benz,brand_mg,brand_mitsubishi,brand_nissan,brand_other,brand_peugeot,brand_porsche,brand_suzuki,brand_toyota,brand_vinfast,brand_volkswagen,brand_volvo,model_encoded
320,88000,8,0.0,1,18,4888.888888888889,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525.0810475494045
108,135000,5,0.0,1,24,5625.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,845.565217462156
365,275000,16,0.0,1,8,34375.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.0253164556962
339,60150,5,0.0,1,9,6683.333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.64634146341464
380,15000,4,0.0,1,16,937.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,426.5735294117647
2450,100000,4,0.0,1,11,9090.90909090909,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099.5625399625642
170,56000,8,0.0,1,21,2666.6666666666665,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,132.80000541657375
740,100000,5,0.0,1,15,6666.666666666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1503.9975059477442
450,15000,5,0.0,1,6,2500.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.0364706291593
790,11040,7,0.0,1,5,2208.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843.7714285714286
240,57000,4,0.0,1,11,5181.818181818182,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.615384627397
