price_million,km,year,brand,model,transmission,fuel_type,body_type,origin,condition,seats,city,engine,engine_missing,seller_id,source,age,km_per_year,is_luxury,usage
210.0,200000.0,2020.0,Toyota,Wigo,MT,Xăng,Hatchback,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,bf8ec81ff74b13e68547baef01123083,chotot,5.0,40000.0,0,high
295.0,160.0,2017.0,Chevrolet,Colorado,MT,Dầu,Pick-up (bán tải),Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,3555f5e4f94d1553395b639630ea6ce1,chotot,8.0,20.0,0,low
589.0,14000.0,2024.0,VinFast,VF6,AT,Điện,SUV / Cross over,Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,7ed3e52ff9b6ad18a9cdb3f92c2b0e0e,chotot,1.0,14000.0,0,medium
105.0,130000.0,2010.0,Daewoo,Gentra,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,fdde5dfa7299cd0d29b7cc2926b42a07,chotot,15.0,8666.666666666666,0,low
415.0,120.0,2017.0,Ford,Ranger,AT,Dầu,Pick-up (bán tải),Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,4c8bf38251a85124c7a32597682fbca1,chotot,8.0,15.0,0,low
125.0,50000.0,2002.0,Toyota,Camry,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,54603360f9989d5c8a08eb9ac8eaeb1a,chotot,23.0,2173.913043478261,0,low
700.0,16850.0,2022.0,Volkswagen,T-Cross,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,c7c1ae46e1165992da72ad03742175a3,chotot,3.0,5616.666666666667,0,low
440.0,50000.0,2022.0,VinFast,VFe34,AT,Điện,SUV / Cross over,Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,70cb05d7a18a7ab67e9fffc2ab2bf760,chotot,3.0,16666.666666666668,0,medium
579.0,9979.0,2023.0,Mitsubishi,Xpander,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,7.0,Hồ Chí Minh,0.0,1,e2c4d3cf25d0bcca8df95e03f702c9e7,chotot,2.0,4989.5,0,low
950.0,70000.0,2019.0,Mercedes Benz,C Class,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,a25e2ec163d1dedd55c8f4f283afac27,chotot,6.0,11666.666666666666,1,medium
600.0,58000.0,2012.0,BMW,Dòng khác,AT,Xăng,Sedan,Trong nước,Cũ,4.0,Hồ Chí Minh,0.0,1,19df07a0401a5095af518767d2d7f7b2,chotot,13.0,4461.538461538462,1,low
310.0,65000.0,2020.0,Mitsubishi,Attrage,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,9c380dcbd2b7821a1daf6920b5900dc7,chotot,5.0,13000.0,0,medium
719.0,0.0,2025.0,VinFast,Limo Green,AT,Điện,Minivan (MPV),Trong nước,Mới,8.0,Hồ Chí Minh,0.0,1,ed980a5285f15355564f2f9847d6ceff,chotot,0.0,0.0,0,low
547.0,85000.0,2019.0,Toyota,Innova,AT,Xăng,Minivan (MPV),Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,89e16cde0511e3897178eddc07d3a11f,chotot,6.0,14166.666666666666,0,medium
1390.0,21000.0,2024.0,Kia,Carnival,AT,Dầu,Van,Trong nước,Cũ,8.0,Cần Thơ,0.0,1,f3aa25123e3344cf07f0bae24576fa05,chotot,1.0,21000.0,0,high
190.0,99000.0,2011.0,Chevrolet,Cruze,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,840e57a6be8af17f1a4f43b38e5a5dcd,chotot,14.0,7071.428571428572,0,low
445.0,51000.0,2023.0,Suzuki,Ertiga,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Hồ Chí Minh,0.0,1,d8635833523df1aa14c813bad4a8aab0,chotot,2.0,25500.0,0,high
145.0,100000.0,2006.0,Toyota,Innova,MT,Xăng,Minivan (MPV),Trong nước,Cũ,8.0,Cà Mau,0.0,1,d2036bc30352ed2644b8cc7391f37bcd,chotot,19.0,5263.1578947368425,0,low
582.0,60000.0,2016.0,BMW,3 Series,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,26510642bdc02baed3642d76866bc4b0,chotot,9.0,6666.666666666667,1,low
230.0,100000.0,2015.0,Nissan,Sunny,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Hà Nội,0.0,1,532fd909bce9df86ac5d721e6f7059c4,chotot,10.0,10000.0,0,medium
350.0,135000.0,2015.0,Toyota,Innova,AT,Xăng,Minivan (MPV),Trong nước,Cũ,7.0,Hồ Chí Minh,0.0,1,6725eb097d1c66d861ee714e780d3910,chotot,10.0,13500.0,0,medium
215.0,200000.0,2001.0,Toyota,Land Cruiser,MT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Hồ Chí Minh,0.0,1,6e5d173b8f1597c61b0b85c03697ff57,chotot,24.0,8333.333333333334,0,low
215.0,120000.0,2017.0,Hyundai,Grand i10,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Quảng Ngãi,0.0,1,35719c9978016294a949171ccfaecc06,chotot,8.0,15000.0,0,medium
285.0,97000.0,2009.0,Honda,Civic,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Bình Dương,0.0,1,68dd55186fbbb9bddef8178aa3af83b2,chotot,16.0,6062.5,0,low
310.0,130000.0,2010.0,Porsche,Cayenne,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,8.0,Hồ Chí Minh,0.0,1,8e76b857ed0bb62167168bb0bb63a877,chotot,15.0,8666.666666666666,1,low
614.0,0.0,2025.0,Mitsubishi,Xpander,AT,Xăng,SUV / Cross over,Nhập khẩu,Mới,7.0,Hồ Chí Minh,0.0,1,b224147318becc4f70c94b1e2689f35a,chotot,0.0,0.0,0,low
510.0,45000.0,2020.0,Mazda,3,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Đắk Lắk,0.0,1,47195a174478fdf86d7518a846ba49ea,chotot,5.0,9000.0,0,low
495.0,86000.0,2019.0,Honda,Civic,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Bà Rịa,0.0,1,3e17a6acd692bef320d5bd34ab11784c,chotot,6.0,14333.333333333334,0,medium
2480.0,51000.0,2019.0,Porsche,Macan,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,5.0,Hà Nội,0.0,1,6759afb312df8f881f7ab5571e71615a,chotot,6.0,8500.0,1,low
320.0,88000.0,2007.0,BMW,X5,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,8.0,Hồ Chí Minh,0.0,1,1b99a60e08ec11d3d98eee237e3f60b8,chotot,18.0,4888.888888888889,1,low
