price_million,km,year,brand,model,transmission,fuel_type,body_type,origin,condition,seats,city,engine,engine_missing,source,age,km_per_year,is_luxury,transmission_encoded,fuel_type_encoded,origin_encoded,condition_encoded,source_encoded,brand_freq,model_freq,city_freq,body_type_freq
320.0,88000.0,2007.0,BMW,X5,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,8.0,Hồ Chí Minh,0.0,1,chotot,18.0,4888.888888888889,1,0,2,0,0,1,0.03400754199520055,0.0002742543709290367,0.2584161810078848,0.10010284538909839
108.0,135000.0,2001.0,Mercedes Benz,E Class,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,24.0,5625.0,1,0,2,0,0,1,0.10078848131642099,0.0021254713747000343,0.2584161810078848,0.2631470689064107
365.0,275000.0,2017.0,Ford,Transit,MT,Dầu,Kiểu dáng khác,Trong nước,Cũ,16.0,Cần Thơ,0.0,1,chotot,8.0,34375.0,0,1,0,1,0,1,0.11155296537538567,0.006787795680493658,0.009667466575248543,0.013369900582790539
339.0,60150.0,2016.0,Chevrolet,Cruze,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Cần Thơ,0.0,1,chotot,9.0,6683.333333333333,0,0,2,0,0,1,0.020157696263284196,0.003359616043880699,0.009667466575248543,0.2631470689064107
380.0,15000.0,2009.0,Toyota,Camry,AT,Xăng,Sedan,Nhập khẩu,Cũ,4.0,Hà Nội,0.0,1,chotot,16.0,937.5,0,0,2,0,0,1,0.1615358244772026,0.0061021597531710665,0.4966746657524854,0.2631470689064107
2450.0,100000.0,2014.0,LandRover,Range Rover,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,4.0,Đà Nẵng,0.0,1,chotot,11.0,9090.90909090909,0,0,2,0,0,1,0.012752828248200206,0.00013712718546451835,0.02228316763798423,0.10010284538909839
170.0,56000.0,2004.0,Toyota,Zace,MT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,8.0,Hồ Chí Minh,0.0,1,chotot,21.0,2666.6666666666665,0,1,2,0,0,1,0.1615358244772026,0.0018512170037709977,0.2584161810078848,0.10010284538909839
740.0,100000.0,2010.0,Lexus,RX,AT,Xăng,SUV / Cross over,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,15.0,6666.666666666667,1,0,2,0,0,1,0.03956119300651354,0.0007541995200548508,0.2584161810078848,0.10010284538909839
450.0,15000.0,2019.0,Isuzu,Dmax,AT,Dầu,Pick-up (bán tải),Nhập khẩu,Cũ,5.0,Đắk Lắk,0.0,1,chotot,6.0,2500.0,0,0,0,0,0,1,0.006033596160438807,0.0005485087418580734,0.010010284538909838,0.01405553651011313
790.0,11040.0,2020.0,Ford,Everest,AT,Dầu,SUV / Cross over,Nhập khẩu,Cũ,7.0,Hà Nội,0.0,1,chotot,5.0,2208.0,0,0,0,0,0,1,0.11155296537538567,0.0056907781967775115,0.4966746657524854,0.10010284538909839
